filename,width,height,class,xmin,ymin,xmax,ymax
Data-Images/Cars/105.jpg,684,293,license_plate,12,106,696,399
Data-Images/Cars/38.jpg,118,39,license_plate,794,485,912,524
Data-Images/Cars/136.jpg,173,74,license_plate,155,200,328,274
Data-Images/Cars/127.jpg,416,154,license_plate,191,54,607,208
Data-Images/Cars/21.jpg,238,63,license_plate,272,2,510,65
Data-Images/Cars/42.jpg,138,68,license_plate,26,261,164,329
Data-Images/Cars/91.jpg,176,66,license_plate,606,287,782,353
Data-Images/Cars/134.jpg,148,54,license_plate,106,152,254,206
Data-Images/Cars/225.jpg,259,67,license_plate,143,205,402,272
Data-Images/Cars/157.jpg,229,97,license_plate,62,126,291,223
Data-Images/Cars/122.jpg,214,91,license_plate,6,32,220,123
Data-Images/Cars/66.jpg,269,152,license_plate,92,131,361,283
Data-Images/Cars/199.jpg,110,44,license_plate,559,205,669,249
Data-Images/Cars/209.jpg,209,68,license_plate,56,220,265,288
Data-Images/Cars/230.jpg,183,71,license_plate,140,148,323,219
Data-Images/Cars/96.jpg,281,75,license_plate,315,192,596,267
Data-Images/Cars/104.jpg,144,38,license_plate,314,183,458,221
Data-Images/Cars/118.jpg,202,110,license_plate,123,131,325,241
Data-Images/Cars/0.jpg,119,47,license_plate,581,273,700,320
Data-Images/Cars/73.jpg,134,48,license_plate,160,182,294,230
Data-Images/Cars/69.jpg,176,58,license_plate,148,203,324,261
Data-Images/Cars/233.jpg,124,55,license_plate,184,150,308,205
Data-Images/Cars/154.jpg,221,79,license_plate,177,217,398,296
Data-Images/Cars/163.jpg,170,85,license_plate,340,228,510,313
Data-Images/Cars/44.jpg,291,67,license_plate,595,463,886,530
Data-Images/Cars/210.jpg,274,122,license_plate,130,103,404,225
Data-Images/Cars/220.jpg,139,47,license_plate,54,190,193,237
Data-Images/Cars/16.jpg,198,61,license_plate,291,258,489,319
Data-Images/Cars/18.jpg,99,43,license_plate,333,190,432,233
Data-Images/Cars/185.jpg,145,52,license_plate,205,271,350,323
Data-Images/Cars/6.jpg,217,74,license_plate,226,240,443,314
Data-Images/Cars/55.jpg,162,49,license_plate,281,187,443,236
Data-Images/Cars/61.jpg,168,52,license_plate,122,208,290,260
Data-Images/Cars/29.jpg,1374,294,license_plate,121,43,1495,337
Data-Images/Cars/79.jpg,289,84,license_plate,559,456,848,540
Data-Images/Cars/113.jpg,464,163,license_plate,15,121,479,284
Data-Images/Cars/24.jpg,268,80,license_plate,162,197,430,277
Data-Images/Cars/63.jpg,157,77,license_plate,34,195,191,272
Data-Images/Cars/160.jpg,255,62,license_plate,1017,615,1272,677
Data-Images/Cars/138.jpg,182,76,license_plate,126,289,308,365
Data-Images/Cars/14.jpg,209,83,license_plate,151,102,360,185
Data-Images/Cars/144.jpg,328,93,license_plate,110,184,438,277
Data-Images/Cars/75.jpg,107,42,license_plate,412,143,519,185
Data-Images/Cars/25.jpg,149,43,license_plate,283,177,432,220
Data-Images/Cars/119.jpg,459,97,license_plate,12,63,471,160
Data-Images/Cars/116.jpg,408,199,license_plate,114,126,522,325
Data-Images/Cars/9.jpg,283,208,license_plate,674,364,957,572
Data-Images/Cars/95.jpg,369,115,license_plate,301,419,670,534
Data-Images/Cars/36.jpg,98,39,license_plate,97,99,195,138
Data-Images/Cars/81.jpg,137,62,license_plate,334,304,471,366
Data-Images/Cars/190.jpg,112,31,license_plate,114,85,226,116
Data-Images/Cars/187.jpg,122,46,license_plate,232,178,354,224
Data-Images/Cars/147.jpg,150,47,license_plate,162,226,312,273
Data-Images/Cars/207.jpg,313,89,license_plate,137,65,450,154
Data-Images/Cars/194.jpg,48,28,license_plate,87,99,135,127
Data-Images/Cars/224.jpg,164,68,license_plate,23,35,187,103
Data-Images/Cars/162.jpg,153,39,license_plate,86,18,239,57
Data-Images/Cars/164.jpg,194,59,license_plate,232,370,426,429
Data-Images/Cars/102.jpg,233,128,license_plate,128,73,361,201
Data-Images/Cars/150.jpg,203,73,license_plate,139,240,342,313
Data-Images/Cars/11.jpg,151,59,license_plate,348,377,499,436
Data-Images/Cars/231.jpg,134,69,license_plate,12,116,146,185
Data-Images/Cars/39.jpg,291,86,license_plate,7,81,298,167
Data-Images/Cars/217.jpg,280,94,license_plate,110,116,390,210
Data-Images/Cars/218.jpg,200,73,license_plate,180,114,380,187
Data-Images/Cars/201.jpg,124,47,license_plate,250,186,374,233
Data-Images/Cars/172.jpg,479,127,license_plate,16,7,495,134
Data-Images/Cars/215.jpg,205,66,license_plate,184,304,389,370
Data-Images/Cars/47.jpg,201,62,license_plate,397,420,598,482
Data-Images/Cars/56.jpg,140,45,license_plate,382,396,522,441
Data-Images/Cars/10.jpg,222,81,license_plate,199,138,421,219
Data-Images/Cars/65.jpg,230,143,license_plate,19,23,249,166
Data-Images/Cars/89.jpg,747,177,license_plate,845,804,1592,981
Data-Images/Cars/213.jpg,275,97,license_plate,124,109,399,206
Data-Images/Cars/129.jpg,240,71,license_plate,138,136,378,207
Data-Images/Cars/20.jpg,207,97,license_plate,147,177,354,274
Data-Images/Cars/28.jpg,2126,491,license_plate,296,123,2422,614
Data-Images/Cars/174.jpg,239,77,license_plate,209,82,448,159
Data-Images/Cars/208.jpg,223,63,license_plate,154,196,377,259
Data-Images/Cars/212.jpg,204,86,license_plate,144,112,348,198
Data-Images/Cars/159.jpg,411,233,license_plate,365,245,776,478
Data-Images/Cars/87.jpg,295,91,license_plate,784,651,1079,742
Data-Images/Cars/111.jpg,690,147,license_plate,53,177,743,324
Data-Images/Cars/31.jpg,118,78,license_plate,450,277,568,355
Data-Images/Cars/214.jpg,196,77,license_plate,143,243,339,320
Data-Images/Cars/141.jpg,249,62,license_plate,146,133,395,195
Data-Images/Cars/168.jpg,216,56,license_plate,218,140,434,196
Data-Images/Cars/109.jpg,370,104,license_plate,41,81,411,185
Data-Images/Cars/49.jpg,92,45,license_plate,114,196,206,241
Data-Images/Cars/121.jpg,402,93,license_plate,26,36,428,129
Data-Images/Cars/34.jpg,1301,388,license_plate,1185,967,2486,1355
Data-Images/Cars/27.jpg,198,109,license_plate,49,184,247,293
Data-Images/Cars/189.jpg,406,154,license_plate,165,199,571,353
Data-Images/Cars/182.jpg,72,29,license_plate,182,203,254,232
Data-Images/Cars/117.jpg,272,133,license_plate,160,115,432,248
Data-Images/Cars/124.jpg,185,79,license_plate,135,117,320,196
Data-Images/Cars/86.jpg,160,77,license_plate,199,185,359,262
Data-Images/Cars/35.jpg,230,59,license_plate,314,262,544,321
